,model_name,cost,LOC,DATE,MISC,ORG,PER,NFP,NUM,HYPH,AFX,AUX,NOUN,XX,ADD,ADP,PUNCT+PUNCT,PART,INTJ,AUX+PART,ADJ,DET,PRON,PUNCT,PROPN,VERB+PART,SYM,VERB,X,NOUN+NOUN,CCONJ,ADV,PRON+AUX,SCONJ,neutral,negative,positive
19,sepidmnorozy/parsbert-finetuned-pos,0.147,,,,,,,0.0,,,0.0,0.533,,,0.0,,0.0,0.009,,0.0,0.0,0.0,0.775,0.271,,0.0,0.0,0.0,,0.0,0.0,,,,,
20,TweebankNLP/bertweet-tb2-pos-tagging,0.147,,,,,,,0.804,,,0.865,0.767,,,0.695,,0.98,0.756,,0.673,0.589,0.881,0.68,0.541,,0.798,0.566,0.45,,0.972,0.63,,0.0,,,
21,Deborah/bertimbau-finetuned-pos-accelerate,0.147,,,,,,,0.033,,,0.0,0.001,,,0.01,,0.0,0.002,,0.064,0.745,0.2,0.026,0.0,,0.0,0.025,0.214,,0.003,0.063,,0.0,,,
22,mrm8488/mobilebert-finetuned-pos,0.474,,,,,,,0.765,,,0.0,0.532,,,0.89,,0.992,0.0,,0.292,0.489,0.684,0.0,0.8,,0.016,0.679,0.001,,0.783,0.541,,,,,
23,flair/pos-english-fast,0.017,,,,,,0.0,0.912,0.0,0.0,0.0,0.863,0.0,0.0,0.968,,0.963,0.647,,0.861,0.988,0.718,0.549,0.905,,0.052,0.931,0.061,,0.988,0.87,,,,,
24,cardiffnlp/twitter-roberta-base-sentiment,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.775,0.718
25,cardiffnlp/twitter-roberta-base-sentiment-latest,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.658,0.806,0.741
26,nlptown/bert-base-multilingual-uncased-sentiment,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.83,0.771
27,finiteautomata/bertweet-base-sentiment-analysis,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.657,0.814,0.663
28,avichr/heBERT_sentiment_analysis,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.623,0.501,0.234
29,sbcBI/sentiment_analysis_model,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506,0.74,0.488
30,rohanrajpal/bert-base-codemixed-uncased-sentiment,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108,0.493,0.59
31,juliensimon/reviews-sentiment-analysis,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163,0.941,0.0
32,RANG012/SENATOR,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.629,0.738,0.0
33,bhadresh-savani/distilbert-base-uncased-sentiment-sst2,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9,0.631
34,rabindralamsal/BERTsent,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.702,0.764,0.655
35,dhpollack/distilbert-dummy-sentiment,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0
36,philschmid/distilbert-base-multilingual-cased-sentiment-2,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,0.6,0.729
37,fhamborg/roberta-targeted-sentiment-classification-newsarticles,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505,0.449,0.0
38,Seethal/sentiment_analysis_generic_dataset,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.541,0.741,0.577
39,federicopascual/finetuning-sentiment-model-3000-samples,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.432,0.882,0.0
40,jkhan447/sentiment-model-sample-group-emotion,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,0.108,0.935
41,yosemite/autonlp-imdb-sentiment-analysis-english-470512388,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.418,0.948
42,l3cube-pune/MarathiSentiment,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.868,0.407,0.139
