,model_name,cost,LOC,PER,MISC,DATE,ORG,AFX,NFP,ADV,ADP,PROPN,PRON+AUX,PART,ADD,VERB,PUNCT,DET,VERB+PART,X,AUX,SYM,SCONJ,HYPH,XX,PUNCT+PUNCT,CCONJ,ADJ,NUM,NOUN+NOUN,INTJ,PRON,AUX+PART,NOUN,negative,positive,neutral
12,flair/pos-english,0.034,,,,,,0.0,0.0,0.903,0.982,0.852,,0.972,0.0,0.889,0.46,0.804,,0.669,0.0,0.682,,0.0,0.0,,0.975,0.853,0.939,,0.615,0.963,,0.857,,,
13,flair/upos-multi-fast,0.015,,,,,,,,0.74,0.948,0.778,,0.726,,0.85,0.312,0.96,,0.425,0.236,0.424,0.0,,,,0.934,0.677,0.921,,0.783,0.791,,0.595,,,
14,flair/upos-english-fast,0.017,,,,,,,,0.908,0.978,0.893,,0.978,,0.947,0.489,0.989,,0.394,0.975,0.763,,,,,0.986,0.871,0.939,,0.508,0.978,,0.755,,,
15,flair/upos-multi,0.033,,,,,,,,0.82,0.949,0.827,,0.734,,0.928,0.339,0.967,,0.351,0.233,0.388,0.0,,,,0.893,0.778,0.932,,0.669,0.788,,0.632,,,
16,KoichiYasuoka/roberta-base-english-upos,0.147,,,,,,,,0.442,0.962,0.69,0.0,0.509,,0.89,0.345,0.966,0.0,0.084,0.823,0.032,0.0,,,0.0,0.978,0.709,0.766,0.0,0.216,0.698,0.0,0.714,,,
17,TweebankNLP/bertweet-tb2_ewt-pos-tagging,0.146,,,,,,,,0.466,0.99,0.681,,0.022,,0.917,0.475,0.984,,0.169,0.524,0.146,0.0,,,,0.992,0.725,0.861,,0.102,0.722,,0.622,,,
18,Deborah/bertimbau-finetuned-pos-accelerate3,0.147,,,,,,,,0.429,0.139,0.606,,0.0,,0.319,0.359,0.0,,0.06,0.0,0.103,,,,,0.379,0.655,0.474,,0.168,0.124,,0.381,,,
19,sepidmnorozy/parsbert-finetuned-pos,0.147,,,,,,,,0.0,0.0,0.228,,0.0,,0.192,0.083,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,0.005,0.0,,0.156,,,
20,TweebankNLP/bertweet-tb2-pos-tagging,0.147,,,,,,,,0.735,0.982,0.848,,0.521,,0.899,0.475,0.901,,0.174,0.247,0.164,0.0,,,,0.916,0.742,0.767,,0.111,0.766,,0.7,,,
21,Deborah/bertimbau-finetuned-pos-accelerate,0.147,,,,,,,,0.044,0.031,0.0,,0.0,,0.104,0.045,0.232,,0.123,0.0,0.0,0.0,,,,0.0,0.03,0.032,,0.002,0.07,,0.087,,,
22,mrm8488/mobilebert-finetuned-pos,0.474,,,,,,,,0.853,0.841,0.435,,0.553,,0.796,0.0,0.729,,0.129,0.0,0.227,,,,,0.979,0.679,0.82,,0.0,0.838,,0.565,,,
23,flair/pos-english-fast,0.017,,,,,,0.0,0.0,0.907,0.979,0.821,,0.969,0.0,0.882,0.489,0.807,,0.557,0.0,0.868,,0.0,0.0,,0.964,0.849,0.948,,0.495,0.965,,0.839,,,
24,cardiffnlp/twitter-roberta-base-sentiment,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.706,0.726,0.744
25,cardiffnlp/twitter-roberta-base-sentiment-latest,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.684,0.71,0.76
26,nlptown/bert-base-multilingual-uncased-sentiment,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.477,0.396,0.566
27,finiteautomata/bertweet-base-sentiment-analysis,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.721,0.736
28,avichr/heBERT_sentiment_analysis,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.428,0.479,0.571
29,sbcBI/sentiment_analysis_model,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.536,0.51,0.658
30,rohanrajpal/bert-base-codemixed-uncased-sentiment,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266,0.483,0.303
31,juliensimon/reviews-sentiment-analysis,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.366,0.0,0.433
32,RANG012/SENATOR,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535,0.0,0.547
33,bhadresh-savani/distilbert-base-uncased-sentiment-sst2,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.401,0.426,0.0
34,rabindralamsal/BERTsent,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.693,0.747,0.715
35,dhpollack/distilbert-dummy-sentiment,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318,0.0,0.0
36,philschmid/distilbert-base-multilingual-cased-sentiment-2,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.407,0.297,0.518
37,fhamborg/roberta-targeted-sentiment-classification-newsarticles,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.301,0.0,0.47
38,Seethal/sentiment_analysis_generic_dataset,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.586,0.56,0.662
39,federicopascual/finetuning-sentiment-model-3000-samples,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471,0.0,0.521
40,jkhan447/sentiment-model-sample-group-emotion,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353,0.227,0.221
41,yosemite/autonlp-imdb-sentiment-analysis-english-470512388,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.609,0.235,0.0
42,l3cube-pune/MarathiSentiment,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.679,0.648,0.552
